"date","minutes_url","jornada_number","visitor_team_name","visitor_team_id","season","time","categoria_id","local_points","visitor_points","local_team_id","local_team_name"
"14/01/2017","liga_eacta.php?IDENCUENTRO=131701101&EL=LICEO DE NOIA&EV=CLUB DEL MAR PROMESAS&IDJORNADA=100&IDNIVEL=17#acta","10","CLUB DEL MAR PROMESAS","1007","2016-2017","16:00","17","2","4","16010","LICEO DE NOIA"
"14/01/2017","liga_eacta.php?IDENCUENTRO=131701102&EL=CD DEZ PORTAS LUGAUTO&EV=ARENAL CTM MILAGROSA&IDJORNADA=100&IDNIVEL=17#acta","10","ARENAL CTM MILAGROSA","16008","2016-2017","17:00","17","2","4","16104","CD DEZ PORTAS LUGAUTO"
"14/01/2017","liga_eacta.php?IDENCUENTRO=131701103&EL=CLUB FERROL TM&EV=HELIOS BEMBRIVE, T.M.&IDJORNADA=100&IDNIVEL=17#acta","10","HELIOS BEMBRIVE, T.M.","832","2016-2017","17:00","17","1","5","10504","CLUB FERROL TM"
"14/01/2017","liga_eacta.php?IDENCUENTRO=131701104&EL=ARTEAL&EV=MERCANTIL VIGO TENIS DE MESA&IDJORNADA=100&IDNIVEL=17#acta","10","MERCANTIL VIGO TENIS DE MESA","14025","2016-2017","17:00","17","2","4","1274","ARTEAL"
"14/01/2017","liga_eacta.php?IDENCUENTRO=131701105&EL=C.T.M. CORUÑA&EV=MONTE PORREIRO PUB PATRIMONIO&IDJORNADA=100&IDNIVEL=17#acta","10","MONTE PORREIRO PUB PATRIMONIO","16009","2016-2017","17:00","17","2","4","796","C.T.M. CORUÑA"
"15/01/2017","liga_eacta.php?IDENCUENTRO=131701106&EL=LICEO CASINO&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","10","NARONENSE","10490","2016-2017","11:00","17","3","4","10573","LICEO CASINO"
"21/01/2017","liga_eacta.php?IDENCUENTRO=131701111&EL=HELIOS BEMBRIVE, T.M.&EV=ARTEAL&IDJORNADA=100&IDNIVEL=17#acta","11","ARTEAL","1274","2016-2017","17:00","17","2","4","832","HELIOS BEMBRIVE, T.M."
"21/01/2017","","11","C.T.M. CORUÑA","796","2016-2017","17:00","17","4","3","16104","CD DEZ PORTAS LUGAUTO"
"21/01/2017","liga_eacta.php?IDENCUENTRO=131701113&EL=ARENAL CTM MILAGROSA&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","11","NARONENSE","10490","2016-2017","17:00","17","3","4","16008","ARENAL CTM MILAGROSA"
"22/01/2017","liga_eacta.php?IDENCUENTRO=131701114&EL=CLUB DEL MAR PROMESAS&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","11","CLUB FERROL TM","10504","2016-2017","11:00","17","5","1","1007","CLUB DEL MAR PROMESAS"
"22/01/2017","liga_eacta.php?IDENCUENTRO=131701115&EL=MERCANTIL VIGO TENIS DE MESA&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","11","LICEO CASINO","10573","2016-2017","11:00","17","4","3","14025","MERCANTIL VIGO TENIS DE MESA"
"22/01/2017","liga_eacta.php?IDENCUENTRO=131701116&EL=MONTE PORREIRO PUB PATRIMONIO&EV=LICEO DE NOIA&IDJORNADA=100&IDNIVEL=17#acta","11","LICEO DE NOIA","16010","2016-2017","11:00","17","3","4","16009","MONTE PORREIRO PUB PATRIMONIO"
"28/01/2017","liga_eacta.php?IDENCUENTRO=131701121&EL=C.T.M. CORUÑA&EV=ARENAL CTM MILAGROSA&IDJORNADA=100&IDNIVEL=17#acta","12","ARENAL CTM MILAGROSA","16008","2016-2017","17:00","17","1","5","796","C.T.M. CORUÑA"
"28/01/2017","liga_eacta.php?IDENCUENTRO=131701122&EL=HELIOS BEMBRIVE, T.M.&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","12","LICEO CASINO","10573","2016-2017","17:00","17","5","1","832","HELIOS BEMBRIVE, T.M."
"28/01/2017","liga_eacta.php?IDENCUENTRO=131701123&EL=CD DEZ PORTAS LUGAUTO&EV=LICEO DE NOIA&IDJORNADA=100&IDNIVEL=17#acta","12","LICEO DE NOIA","16010","2016-2017","17:00","17","2","4","16104","CD DEZ PORTAS LUGAUTO"
"29/01/2017","liga_eacta.php?IDENCUENTRO=131701124&EL=CLUB DEL MAR PROMESAS&EV=ARTEAL&IDJORNADA=100&IDNIVEL=17#acta","12","ARTEAL","1274","2016-2017","11:00","17","4","3","1007","CLUB DEL MAR PROMESAS"
"29/01/2017","","12","CLUB FERROL TM","10504","2016-2017","11:00","17","3","4","16009","MONTE PORREIRO PUB PATRIMONIO"
"29/01/2017","liga_eacta.php?IDENCUENTRO=131701126&EL=MERCANTIL VIGO TENIS DE MESA&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","12","NARONENSE","10490","2016-2017","11:00","17","3","4","14025","MERCANTIL VIGO TENIS DE MESA"
"04/02/2017","liga_eacta.php?IDENCUENTRO=131701131&EL=LICEO DE NOIA&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","13","C.T.M. CORUÑA","796","2016-2017","16:00","17","4","2","16010","LICEO DE NOIA"
"04/02/2017","liga_eacta.php?IDENCUENTRO=131701132&EL=CLUB FERROL TM&EV=CD DEZ PORTAS LUGAUTO&IDJORNADA=100&IDNIVEL=17#acta","13","CD DEZ PORTAS LUGAUTO","16104","2016-2017","17:00","17","4","2","10504","CLUB FERROL TM"
